id,name,nickname,email,phone,address,suburb,state,postcode,abn,gst,payroll_tax,creditor_code,business_entity,sub_group,category,licence_required,maxjobs,transient,primary_user,secondary_user
10,Australian Temporary Fencing PTY LTD,ATF,accounts@atfhire.com.au,(02) 8860 8188,PO BOX 47,CONCORD,NSW,2137,54 060 402 048,1,1,AUSTEMP,Company,Subcontractor,5,1,2,0,0,0
18,Dagash Holdings PTY LTD,Dagash,bigblockmad@hotmail.com,0402 078 390,58 Moore Street,CAMPBELLTOWN,NSW,2560,46 003 167 860,1,8,DAGASH,Company,Subcontractor,1,1,3,0,0,0
72,Solid Foundations Carpentry PTY LTD,Solid Foundations Carpentry,solidfoundations@bigpond.com,0417 676 776,25 Walseley Crescent,GLEDSWOOD HILLS,NSW,2557,78 612 396 193,1,6,SOLIDFO,Partnership,Subcontractor,1,1,2,0,0,0
5,Air Conditioning,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
6,Alex Evangelista,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
82,Gyprock Profession/als PTY LTD,Gyprock Mate,gyppro22@gmail.com,0432 426 440,100 Ridgway Road,AVOCA BEACH,NSW,2251,19 600 540 261,1,6,GYPPROF,Company,Subcontractor,1,1,1,0,0,0
83,B.M.W Renovations & Building Services P/l,BMW Renovations,bmwrenovations@live.com.au,0424 245 990,PO BOX 7458,WILBERFORCE,NSW,2756,92 601 086 140,1,4,BMW,Company,Subcontractor,1,1,1,0,206,0
91,Pegasus Roofing PTY LTD,,sales@pegasusroofing.net.au,0418 230 845,PO BOX 3076,FREEMANS REACH,NSW,2756,91 010 606 201,1,6,PEGASUS,Company,Subcontractor,1,1,4,0,0,0
92,Dagash Holdings PTY LTD,Dagash,bigblockmad@hotmail.com,0402 078 390,58 Moore Street,CAMPBELLTOWN,NSW,2560,46 003 167 860,1,8,DAGASH,Company,Subcontractor,1,1,1,0,0,0
11,Brick Cleaner,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
12,Bricklayer,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
93,D M Waters Construction PTY LTD,DM Waters Construction,dan-wat@hotmail.com,0433 474 822,68 First Farm Drive,CASTLE HILL,NSW,2154,65 604 319 182,1,6,DMWATERS,Company,Subcontractor,1,1,1,0,0,0
95,Sapper Constructions PTY LTD,Sapper Constructions,matthewjohnson.2308@gmail.com,0430 782 308,9 Belah Garden,VAUCLUSE,NSW,2030,89 604 295 427,1,8,SAPCON,Company,Subcontractor,1,1,3,0,0,0
15,Carpenter,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
16,Certifier,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
17,Cleaner,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
99,Spiteri Building & Maintenance,Spiteri Building and Maintenance (Tobi Spiteri),tobi.spiteri101@gmail.com,0424 469 324,12 Wood Court,MOUNT ANNAN,NSW,2567,90 726 145 406,1,8,SPITERI,Partnership,Subcontractor,1,1,10,1,0,0
19,David Mangano,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
20,Day Carpenter,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
112,Dezbuilt ,,dezbuilt@outlook.com,0404 449 393,19 Charlton Road,LALOR PARK,NSW,2147,89 155 744 125,1,4,DEZBU,Trading Trust,Subcontractor,1,1,1,0,0,0
22,Electrician,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
117,On Point Carpentry,On-Point Carpentry & Joinery,daniel.mcgaw@hotmail.com,0422 698 035,49 Cropton Street,JORDAN SPRINGS,NSW,2747,59 107 873 762,0,8,ONPOINT,Sole Trader,Subcontractor,1,1,3,0,0,0
24,F & W Tiler,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
25,Facia Gutter PTY LTD,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
126,Chris & M Henriks T/A A One Handyman Service ,A1 Handyman Service - Chris,hendriks.industries@hotmail.com,0403 214 384,PO BOX 949,REVERSBY,NSW,2212,81 806 556 738,1,4,AONE,Sole Trader,Subcontractor,1,1,1,0,0,0
127,Smik Carpentry Services,,smikcarpentryservices@outlook.com,0450 127 142,20 Fifth Road,BERKSHIRE PARK,NSW,2765,94 050 674 252,0,8,SMIK,Sole Trader,Subcontractor,1,1,3,0,0,0
133,Joseph Andrew Cawley,Joseph Andrew Cawley,josephcawley@live.com,0431 141 576,309/22 Wellington Street,NARRABEEN,NSW,2101,48 109 356 542,1,4,JCAWLEY,Sole Trader,Subcontractor,1,1,1,0,0,0
139,Sydney Side Lines,,sydneysidelines@bigpond.com,0408 612 184,133-135 Russell av ,DOLLS POINT,NSW,2219,91 091 893 060,1,0,ALLSYD,Company,,1,1,1,0,0,0
30,Grant Patman,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
33,Gyprocker,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
34,Gyrpock Mate,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
38,Icoolm 2,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
40,Intouch Interiors,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
42,JC Fieldus,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
43,CC-Jonathon Stewart,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
45,Labourer,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
46,CC-Aaron Graham,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
48,Clarke Contractors,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
49,Maintenance,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
60,Painter,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
62,Plumber,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
63,RJC - Ralph,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
64,RJC - Ricky,,,,,,,,,NULL,0,,,,1,1,10,1,0,0
65,RJC,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
66,Roof Plumber,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
67,Roofer,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
68,Scaffolder,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
70,Sealer,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
71,CC-Shane Patrick,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
74,Stairs,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
76,Texture Coat,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
77,Tiler,,,,,,,,,NULL,0,,,,0,1,10,0,0,0
81,Straight Forward Construction,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
84,Bricklayer,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
85,CC-Matt Saunders,,,,,,NSW,,,NULL,0,,,,0,1,50,0,0,0
87,Cc-john Walton,,,,,,NSW,,,0,0,,,,0,1,50,0,0,0
94,CC-Tim Calvert,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
97,CC-Craig Bennett,,,,,,,,,NULL,0,,,,0,1,50,0,0,0
98,H.V.C Van Bentum & I.F Van Bentum,Henk Van Bentum,,,,,,,,NULL,0,,,,1,1,10,1,0,0
102,Tools Down,,,,,,,,,NULL,0,,,,0,1,50,0,0,0
107,CC-Client,,,,,,,,,NULL,0,,,,0,1,1,0,0,0
110,Element Carpentry,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
115,CC-Shane Denny,,,,,,NSW,,,NULL,0,,,,0,1,1,0,0,0
116,Final Finish Tiling,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
123,Building Dreamz,,,,,,,,,NULL,0,,,,1,1,1,0,0,0
130,Test Company,,antoniolli.tara@gmail.com,0407330952,33 Garfield St,MCGRATHS HILL,NSW,2756,,NULL,0,,,,0,1,1,0,0,0
131,Cc-dez Brown,,dez@capecod.com.au,,410 Church Street,NORTH PARRAMATTA,NSW,2151,,0,0,,,,0,1,1,0,0,0
89,CC-Jonathon Stewart,,jonathan@capecod.com.au,,"4th Floor, 410 Church St",PARRAMATTA,NSW,2151,54 000 605 407,0,0,,,,0,1,50,0,0,0
