ItemName,QtyOwned,ProjNumb,QtyAlloc
Accro Proppers,2,STORE,2
Accro Props,40,STORE,12
Accro Props,40,7752,1
Accro Props,40,7823,3
Accro Props,40,7824,2
Accro Props,40,7832,10
Accro Props,40,7853,3
Accro Props,40,7909,4
Accro Props,40,7913,1
Accro Props,40,7958,4
Aluminium Planks 4m,9,STORE,9
Aluminium Planks 6m,4,7849,2
Aluminium Planks 6m,4,7862,2
Banners,11,STORE,6
Banners,11,7752,1
Banners,11,7894,1
Banners,11,7909,1
Banners,11,7940,2
Barricades & Ends,6,STORE,6
Bollards,18,STORE,4
Bollards,18,7849,4
Bollards,18,7890,4
Bollards,18,7905,2
Bosch Multi Tool,1,0000,1
Brick Elevator,1,7857,1
Caisson Moisture Meter,3,STORE,1
Caisson Moisture Meter,3,Z-DEAN,1
Caisson Moisture Meter,3,Z-OFFICE,1
Cement Mixer,1,STORE,1
Clean up Bays,13,STORE,10
Clean up Bays,13,7824,1
Clean up Bays,13,7832,1
Clean up Bays,13,7941,1
Concrete Step Down Brackets,20,STORE,20
Extension Ladder,9,7824,1
Extension Ladder,9,7838,1
Extension Ladder,9,7853,1
Extension Ladder,9,7875,1
Extension Ladder,9,7891,1
Extension Ladder,9,7892,1
Extension Ladder,9,7900,1
Extension Ladder,9,7913,1
Extension Ladder,9,7924,1
Fence Brace,6,STORE,6
Fence Feet,98,STORE,55
Fence Feet,98,7752,5
Fence Feet,98,7824,7
Fence Feet,98,7857,2
Fence Feet,98,7874,23
Fence Feet,98,7905,3
Fence Panels,70,STORE,49
Fence Panels,70,7824,5
Fence Panels,70,7857,2
Fence Panels,70,7874,11
Fence Panels,70,7905,2
Fence Panels,70,7926,1
Fence Panels Tree Protection,16,STORE,11
Fence Panels Tree Protection,16,7752,5
Gernie Water Cleaner,1,Z-BRIGGS,1
Hilti Breaker Hammer,1,STORE,1
Hilti VC40 Vacuum Clnr,1,STORE,1
Hitachi H65SB Medium Kanga,1,7905,1
Hitachi H90SB Large Kanga,1,STORE,1
Kerrick Vacuum Cleaner,1,STORE,1
Lock Box,47,STORE,4
Lock Box,47,Z-AARON,4
Lock Box,47,Z-DEAN,4
Lock Box,47,Z-PHIL,1
Lock Box,47,7752,1
Lock Box,47,7766,1
Lock Box,47,7768,1
Lock Box,47,7795,1
Lock Box,47,7824,1
Lock Box,47,7832,1
Lock Box,47,7845,1
Lock Box,47,7847,1
Lock Box,47,7849,1
Lock Box,47,7851,1
Lock Box,47,7853,1
Lock Box,47,7857,1
Lock Box,47,7864,1
Lock Box,47,7872,1
Lock Box,47,7874,1
Lock Box,47,7878,1
Lock Box,47,7879,1
Lock Box,47,7880,1
Lock Box,47,7882,1
Lock Box,47,7889,1
Lock Box,47,7890,1
Lock Box,47,7891,1
Lock Box,47,7894,1
Lock Box,47,7900,1
Lock Box,47,7903,1
Lock Box,47,7904,1
Lock Box,47,7909,1
Lock Box,47,7913,1
Lock Box,47,7915,1
