PRODUCT,ITEM DESCRIPTION,LENGTH,QUANTITY,NOTES,CURRENT COST NOT INCLUDING GST,JOB ALLOCATED TO
301 S/TIMBER,100 x 50 SAWN HARDWOOD,4.2,20,,$ 7.06 p/lm,
301 S/TIMBER,100 x 50 F27 K/D  HARDWOOD,5.4,6,,$ 7.06 p/lm,
301 S/TIMBER,150 x 75 SAWN OREGAN ,3 . 0,1,,$ 7.06 p/lm,
301 S/TIMBER,150 x 75 SAWN OREGAN ,3.3,1,,$ 7.06 p/lm,
301 S/TIMBER,150 x 75 SAWN OREGAN ,3.6,2,,$ 7.06 p/lm,
301 S/TIMBER,150 x 75 SAWN OREGAN ,3.9,1,,$ 7.06 p/lm,
301 S/TIMBER,150 x 75 SAWN OREGAN ,4.2,4,,$ 7.06 p/lm,
301 S/TIMBER,150 x 75 SAWN OREGAN ,4.8,1,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,3 . 0,4,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,3 . 6,3,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,3.9,1,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,4.2,9,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,4.8,1,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,5.1,1,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,5.4,3,,$ 7.06 p/lm,
301 S/TIMBER,200 x 75 SAWN OREGAN ,6 . 0,6,,$ 7.06 p/lm,
301 S/TIMBER,150 x 25 SAWN CASE PINE ,N/A,89,,$ 7.06 p/lm,
301 S/TIMBER,50 x 25 DAR STANDARD PINE  POLASTIC BATTERNS,N/A,22 L/M,,$ 7.06 p/lm,
301 S/TIMBER,150 x 45 HARDWOOD LVL 15 BEAM ,3.6,2,,$ 7.06 p/lm,
301 S/TIMBER,150 x 45 HARDWOOD LVL 15 BEAM ,5.4,2,,$ 7.06 p/lm,
301 S/TIMBER,150 x 45 HARDWOOD LVL 15 BEAM ,6.6,2,,$ 7.06 p/lm,
301 S/TIMBER,150 x 63 HARDWOOD LVL 15 BEAM ,3.9,2,,$ 7.06 p/lm,
301 S/TIMBER,150 x 63 HARDWOOD LVL 15 BEAM ,4.2,1,,$ 7.06 p/lm,
301 S/TIMBER,150 x 63 HARDWOOD LVL 15 BEAM ,4.8,2,,$ 7.06 p/lm,
301 S/TIMBER,150 x 63 HARDWOOD LVL 15 BEAM ,5.1,9,,$ 7.06 p/lm,
301 S/TIMBER,150 x 63 HARDWOOD LVL 15 BEAM ,6.6,1,,$ 7.06 p/lm,
301 S/TIMBER,200 x 45 HARDWOOD LVL 15 BEAM ,3.6,1,,$ 7.06 p/lm,
301 S/TIMBER,200 x 45 HARDWOOD LVL 15 BEAM ,6.3,1,,$ 7.06 p/lm,
301 S/TIMBER,240 x 45 HARDWOOD LVL 15 BEAM ,5.4,2,,$ 7.06 p/lm,
301 S/TIMBER,240 x 45 HARDWOOD LVL 15 BEAM ,6 . 0,1,,$ 7.06 p/lm,
301 S/TIMBER,240 x 45 HARDWOOD LVL 15 BEAM ,6.6,1,,$ 7.06 p/lm,
301 S/TIMBER,240 x 45 HARDWOOD LVL 15 BEAM ,7.2,1,,$ 7.06 p/lm,
301 S/TIMBER,240 x 63 HARDWOOD LVL 15 BEAM ,2.4,1,,$ 7.06 p/lm,
301 S/TIMBER,300 x 45 HARDWOOD LVL 15 BEAM ,4.2,2,,$ 7.06 p/lm,
301 S/TIMBER,300 x 45 HARDWOOD LVL 15 BEAM ,5.4,1,,$ 7.06 p/lm,
301 S/TIMBER,300 x 100 HARDWOOD LVL 15 BEAM ,3.8,1,,$ 7.06 p/lm,
301 S/TIMBER,400 x 65 HARDWOOD LVL 15 BEAM ,4 . 0,1,,$ 7.06 p/lm,
301 S/TIMBER,240x45 TOP MOUNT JOIST HANGERS,N/A,12,,$10.00,
301 S/TIMBER,240x45 I JOIST ,4.2 -6.0,20,,$10.00,
301 S/TIMBER,240x90 TOP MOUNT JOIST HANGERS,N/A,5,,$10.00,
303 EXTERNAL DAR,SAWN WRC BLUE SHINCLES BUNDLE,N/A,2,,,
303 EXTERNAL DAR,100mm H4 TREATED SAWN PINE FENCE PALINGS,1.8,25,,,
303 EXTERNAL DAR,18mm FINISH QUAD LOSP PRIMED,5.4,12,,,
303 EXTERNAL DAR,18 x 18 DAR F/J PINE LOSP PRIMED,5.4,2,,,
303 EXTERNAL DAR,42 x 12 DAR F/J PINE LOSP PRIMED,5.4,12,,,
303 EXTERNAL DAR,140 x 42 MERBAU DAR 4.8 LONG,N/A,11,,,
303 EXTERNAL DAR,140 x 140 MERBAU DAR 3.0 LONG,N/A,4,,,
303 EXTERNAL DAR,290 x 42 MERBAU DAR 4.8 LONG,N/A,2,,,
303 EXTERNAL DAR,200 x 32 FASCIA LOSP PRIMED,6,2,,,
303 EXTERNAL DAR,200 x 32 FASCIA LOSP PRIMED,5.4,1,,,
303 EXTERNAL DAR,200 x 32 FASCIA LOSP PRIMED,4.8,1,,,
303 EXTERNAL DAR,42 x 42 DAR LOSP PRIMED,5.4,36,,,
303 EXTERNAL DAR,66 x 18 DAR LOSP PRIMED,5.4,5,,,
303 EXTERNAL DAR,90 x 18 DAR LOSP PRIMED,5.4,2,,,
303 EXTERNAL DAR,66 x 32 DAR LOSP PRIMED,5.4,2,,,
303 EXTERNAL DAR,90 x 32 DAR LOSP PRIMED,5.4,6,,,
303 EXTERNAL DAR,90 x 42 DAR LOSP PRIMED,5.4,24,,,
303 EXTERNAL DAR,88 x 66 DAR LOSP PRIMED,5.4,5,,,
303 EXTERNAL DAR,88 x 88 DAR LOSP PRIMED,3.6,1,,,
303 EXTERNAL DAR,88 x 88 DAR LOSP PRIMED,4.8,1,,,
303 EXTERNAL DAR,88 x 88 DAR LOSP PRIMED,5.4,3,,,
303 EXTERNAL DAR,115 x 115 DAR LOSP PRIMED,2.4,1,,,
303 EXTERNAL DAR,115 x 115 DAR LOSP PRIMED,5.4,5,,,
303 EXTERNAL DAR,150 x 150 DAR LOSP PRIMED,3 . 0,1,,,
303 EXTERNAL DAR,150 x 150 DAR LOSP PRIMED,3.6,1,,,
303 EXTERNAL DAR,150 x 150 DAR LOSP PRIMED,2.4,1,,,
303 EXTERNAL DAR,150 x 150 DAR LOSP PRIMED,1.8,1,,,
303 EXTERNAL DAR,140 x 18 DAR LOSP PRIMED,5.4,11,,,
303 EXTERNAL DAR,140 x 32 DAR LOSP PRIMED,5.4,9,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,5.4,1,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,4.8,2,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,3.9,1,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,3 . 6,2,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,3 . 0,2,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,2.7,1,,,
303 EXTERNAL DAR,140 x 42 DAR LOSP PRIMED,2.4,3,,,
305 FLOORING,RAMBOARD FLOORING PROTECTION 17m X 1.00 ROLLm,,1,,,
305 FLOORING,POLY FABRIC 9.6m X 8.7m,,1,,,
307 METAL,150 UC 14 - Primed,3.3,1,,$ 342. 83,
307 METAL,150 UB 14 - Primed,2.05,1,on site at Xion ,$ 342. 83,
307 METAL,150 UB 14 - Primed,2.05,1,on site at Xion ,$ 342. 83,
307 METAL,180 UB 18 - Primed,4.5,1,on site at Xion ,$ 342. 83,
307 METAL,200 UB 18 - Primed,4.3,1,,$ 342. 83,
307 METAL,200 UB 18 - Primed,4.6,1,70mm NOTCHED END - CAN BE CUT OFF,$363.26,
307 METAL,200 UB 25 - Primed,4.25,1,,$231.54,
307 METAL,"200x200 RIBBED ""T"" BAR",2.3,1,,$347.30,
307 METAL,"200x200 RIBBED  ""T"" BAR",4.2,1,,$634.20,
307 METAL,100x100 GALINTEL,1.2,2,,,
307 METAL,100x100 GALINTEL,1.5,1,,,
307 METAL,100x100 GALINTEL,1.8,1,,,
307 METAL,100x100 GALINTEL,2.1,1,,,
307 METAL,150x100 GALINTEL,2.1,1,,,
307 METAL,85x8 GALINTEL,1.1,1,,,
307 METAL,85x8 GALINTEL,0.9,1,,,
309 WINDOWS,VELUX FS2005 C01 SKYLIGHT 546 x 695,N/A,1,,$354.55,
309 WINDOWS,VELUX FS2004 C04 SKYLIGHT 550 x 980,N/A,1,,$354.55,
309 WINDOWS,VELUX FS2005 C04 SKYLIGHT 546 x 975,N/A,1,,$354.55,
309 WINDOWS,VELUX FCM 3046  SKYLIGHT 870 x 1275,N/A,1,,$354.55,
309 WINDOWS,VELUX EDW C01 550 x 700 FLASHING KIT,N/A,1,,$112.12,
309 WINDOWS,VELUX FS2004 M08 SKYLIGHT 776 x 1395,N/A,1,,$769.09,
309 WINDOWS,VELUX EDW M06 780 x 1180  FLASHING KIT,N/A,2,,$112.12,
309 WINDOWS,VELUX EDW M08  780 x 1400 FLASHING KIT,N/A,2,,$112.12,
309 WINDOWS,VELUX  DSD M08  SOLAR BLOCK OUT BLIND WHITE,N/A,1,,$112.12,
309 WINDOWS,VELUX  DSD C06  SOLAR BLOCK OUT BLIND WHITE,N/A,2,,$112.12,
309 WINDOWS,VELUX  DSH C04  SOLAR BLOCK OUT BLIND WHITE,N/A,1,,$112.12,
311 CLADDING,2400 x 1200 x 9 SCYON AXON 133mm GROOVE SMOOTH SHEET,N/A,10,,$96.19 p/sht,
311 CLADDING,2400 x 900 TEXTURE BASE SHEET,N/A,4,,,
