ID,Company,Business Entity,No. of Staff,GST,Payroll Tax Exemption,Subcontractors Statement,Gross Payment,GST paid,Net Payment,PTAX Rate,PTAX Payable,Comments
7,All Seasons Gutter Guard,Company,1,Yes,Exempt (4),-," 5,989.00 ", 544.45 ," 5,444.55 ",, -   ,Worked less than 90 days
125,All Time Wall And Floor Tiling,Sole Trader,3,Yes,Exempt (6),-," 159,294.76 "," 14,481.39 "," 144,813.37 ",, -   ,Employs other people to do the work
122,Allcon Developments,Company,2,No,Exempt (6),-," 149,730.00 ", -   ," 149,730.00 ",, -   ,
175,Allen & Laverne Enterprises P/l,Company,2,Yes,Exempt (6),-," 257,010.07 "," 23,364.55 "," 233,645.52 ",, -   ,workers comp says 2
257,Altitude Surveys,Company,1,Yes,Exempt (5),-," 10,285.00 ", 935.00 ," 9,350.00 ",, -   ,"Provides services to the Gen Public |
http://altitudesurveys.com.au/"
179,Ameego Design PTY LTD,Company,1,Yes,Exempt (4),-," 17,011.66 "," 1,546.50 "," 15,465.16 ",, -   ,Worked less than 90 days
8,Ariel Carpentry PTY LTD,Company,3,Yes,Exempt (6),-," 232,819.13 "," 21,165.38 "," 211,653.75 ",, -   ,
155,Artek Design & Drafting Services,Sole Trader,1,Yes,Exempt (5),-," 34,623.64 "," 3,147.61 "," 31,476.03 ",, -   ,"Provides services to the Gen Public | http://artekdnd.com/
Exemption as per Revenue NSW Ruling
Can also be Exempt (1)"
9,Ashby's Scaffolding PTY LTD,Company,6,Yes,Exempt (6),30/6/20," 538,483.23 "," 48,952.96 "," 489,530.27 ",, -   ,
256,Asher Silcock Consulting PTY LTD,Company,1,Yes,Exempt (5),-," 10,890.00 ", 990.00 ," 9,900.00 ",, -   ,"Can also be Exempt (4)
https://hipages.com.au/connect/ashersilcockconsultingptyltd"
235,Atom Resources PTY LTD,Company,4,Yes,Exempt (5),-," 61,542.22 "," 5,594.82 "," 55,947.40 ",, -   ,"can also be Exempt (6) - Hire contractor company
http://www.atomresources.com.au/"
158,Beyond Architechniques PTY LTD,Company,1,Yes,Exempt (5),-," 1,591.19 ", 144.65 ," 1,446.54 ",, -   ,"< 90 days - Only paid 1invoice for the year - Audit Trail + Also works for other businesses & provides its service to the general public https://beyondarchitechniques.com.au/
Exemption as per Revenue NSW Ruling
Can also be Exempt (1, 4)"
224,Building Dreamz P/l,Company,1,Yes,Exempt (4),-," 1,350.80 ", 122.80 ," 1,228.00 ",, -   ,Worked less than 90 days
143,Byrnseys Concrete Pumping,Sole Trader,,Yes,Exempt (4),, 896.50 , 81.50 , 815.00 ,, -   ,Worked less than 90 days
14,C Blair Painting & Decorating,Partnership,2,Yes,Exempt (6),-," 150,868.32 "," 13,715.30 "," 137,153.02 ",, -   ,2+ employees
53,C F Ridder & M Ridder Ta Mervyn D Ridder,Partnership,1,Yes,Liable,-," 105,113.25 "," 9,555.76 "," 95,557.49 ",75%," 71,668.12 ",
160,Carsoli Holdings PTY LTD,Company,1,Yes,Exempt (5),-," 129,363.59 "," 11,760.33 "," 117,603.26 ",, -   ,"Does some work for Modem Construction Group
Exemption as per Revenue NSW Ruling
"
248,Chris Heese,Sole Trader,1,No,Liable,-," 52,951.72 ", -   ," 52,951.72 ",100%," 52,951.72 ",Adjust in SWS no GST
